newsid,title,text,label
472,"Two more COVID-19 positive cases in Uttarakhand, total tally 50,","Chennai: DEHRADUN: Two more Covid-19 positive cases surfaced on Monday including a nurse from All India Institute of Medical Sciences, Rishikesh.
Another positive case was of a 28-year-old mother who delivered a baby 3-days ago in Doon Medical College, Dehradun.
Bapu Nagar locality in Rishikesh and Azad Nagar colony in Dehradun have been sealed after the two were found positive for the fatal virus.
People who came in contact with both the confirmed cases have been issued instructions to quarantine themselves at their homes.
Earlier, on April 5, Uttarakhand police chief Anil Raturi had warned Jamaat followers that case of murder and attempt to murder will be registered against them if they fail to come forward.
More than 200 have come forward till date and have requested medical help.
Till date, total of 23 patients of Covid-19 have recovered and were discharged after their reports for the deadly infection was found negative.",FAKE
824,"Assam Covid-19 recovery rate 77%, but first patient still positive","Assam doctors cured and discharged eight more Covid-19 patients from hospitals on Sunday, taking the state’s recovery rate over 75% against 21.09% for the country, but the state’s first positive person has not reversed yet. State health minister Himanta Biswa Sarma said that four each have been discharged from hospitals in Golaghat and Guwahati. Assam so far has 35 positive cases of which 27 have been discharged and one patient has died. “With Sunday’s discharge, we have seven more patients to go, including the first patient, who is continuing treatment at Silchar Medical College because his swab samples are still showing positive results,” Sarma said. The 52-year-old man from Karimganj had contracted the virus duing the Tablighi Jamaat congregation held at Nizamuddin Markaz in Delhi and was admitted in Silchar medical college and hospital on March 31. He is a cancer patient. “For a state like Assam, the recovery rate of 77 per cent so far will perhaps be seen as an achievement for us,” Sarma said. The state has conducted 7,616 sample tests so far in the six laboratories in the state and of these 35 tested positive and 209 results are still awaited with the remaining being negative. Guwahati Medical College Hospital tested 3,655 samples followed by 1,396 at Assam Medical College and Hospital , Dibrugarh and 1,047 at Fakhruddin Ahmed Medical College Hospital, Barpeta. ",FAKE
372,CDC RUSHES OUT PANDEMIC GUIDANCE FOR RELIGIOUS WORSHIP AFTER SURPRISE TRUMP ANNOUNCEMENT,"After weeks of butting heads with the Trump administration over pandemic guidance, the US Centers for Disease Control (CDC) issued guidance on Friday for the reopening of religious institutions.

“Gathering together for worship is at the heart of many faith traditions,” reads a statement from the CDC.

“Because there are several published reports of COVID-19 outbreaks sparked by large gatherings, both non-religious and religious in nature, the recommendations released today will help guide faith communities while respecting their fundamental right to gather for worship.”

Recommendations include;

Encouraging staff and congregants to wash their hands with soap and water
Providing hand sanitizer
No-touch trash cans
Encouraging the use of cloth masks
“Suspending or at least decreasing use of a choir/musical ensembles and congregant singing, chanting, or reciting during services,”
Daily disinfection
Social distancing
Limiting the sharing of objects such as books and hymnals
Identify an area to quarantine people with COVID-19 symptoms
If someone in a congregation is diagnosed with COVID-19, perform contact tracing and inform anyone with exposure to the person to stay home and self-monitor
Close off any area used by a sick person and do not use until it has been disinfected – which should be performed at least 24 hours later.
Designate a staff member to handle COVID-19 concerns. The revised guidance comes after President Trump told a Michigan roundtable on Thursday “I said, ‘You better put it out,’” – one day before calling an impromptu press conference where he announced that places of worship would be deemed “essential,” and called for their reopening.

Trump said that he would “override” governors who keep places of worship closed. ",FAKE
33,BRONX ER DOCTOR EXPLAINS WHY REOPENING THE ECONOMY NOW MIGHT ACTUALLY SAVE LIVES,"Last night, after we reported on a pair of ER doctors arguing that the US states should lift their lockdowns immediately (during the course of their argument, which was mostly rooted in trends they’ve witnessed first hand, they apparently made the error of bringing up ‘personal liberty’ and ‘the Constitution’, words that prompt progressives to stop listening and start squawking about killing grandma to further enrich the billionaires) YouTube decided that their argument constituted ‘misinformation’ about the coronavirus outbreak and deleted the video after it racked up more than 5 million views.

We found that curious, since even doctors and epidemiologists have told mainstream news organizations that our understanding of the virus is still developing, and things we thought weren’t accurate just weeks ago and now being re-examined. One such aspect is the heavy handed lockdown response implemented across the US, and elsewhere. Urban leftists and out-of-touch Silicon Valley billionaires simply don’t understand that there are millions of Americans out there – many of whom happen to be white – who are absolutely terrified about losing their livelihoods, and don’t understand why all of this is necessary to combat a virus that leaves the vast majority of those infected unscathed.

The first rounds of ‘surveillance’ testing in the US, carried out in New York and in California’s Santa Clara County (the Cali effort was part of a private study, while New York State is testing random samples of the population to try and discern how widely spread the virus has already become) have suggested that the number of total cases is much, much higher than official numbers reflect. The most recent data released by Gov. Cuomo suggest that 1 in 4 people in NYC might already be infected, a figure that rises to 40% in some poorer areas like parts of the Bronx, where most workers are ‘essential’.

Many have blamed politicians for sending ‘mixed messages’ to the public, but the truth is, the message has changed along with our understanding and experience dealing with the virus.

And now, an ER doctor at a hospital in the Bronx is arguing that it’s time to reopen the economy, while pointing out that many thousands of unnecessary deaths could result if we don’t reopen quickly enough, as millions of Americans delay or skip critical preventative care, including people with heart disease and other health issues that make doing so particularly dangerous.

Daniel Murphy, an emergency room physician at St. Barnabas Hospital in The Bronx. Murphy contracted the virus during the early days of the outbreak, and accidentally spread it to members of his family. Luckily, they all quickly recovered and he returned to work in time for the big rush.

Murphy readily acknowledged that the outbreak has been by far the worst public health emergency of his 30-year career in medicine.

COVID-19 has been the worst health-care disaster of my 30-year ­career, because of its intensity, duration and potential for lasting impact. The lasting impact is what worries me the most. And it’s why I now believe we should end the lockdown and rapidly get back to wor.

From mid-March through mid-April, the ER staff at St. Barnabas huddled in groups of about 20 every morning. We asked ourselves what had happened over the previous shift. We generated a list of action­able tasks for the following 24 hours. At first, we addressed personal protective equipment and the management of patients with mild illness who were seeking COVID-19 tests.

Two weeks ago, Murphy said, their ER was slammed with calls, and patients were dying from severe COVID-19 left and right. But as the curve has ‘flattened’ – a trend closely documented by data collected by New York State – Murphy and his team have noticed a massive drop in emergency patients with COVID-19.

Then came the wave of critically ill patients in numbers none of us had ever seen. This lasted for two weeks. The number of patients on ventilators accumulated in the ER and throughout the hospital. We witnessed an unprecedented number of deaths. The tone of the huddles became more somber. We became accustomed to the morbidity; we did our jobs.

It is precisely what I have witnessed that now tells me that it’s time to ease the lockdown. Here’s why.

Then, all of sudden, on April 7 at 1 pm, Murphy noticed that the non-stop parade of ambulances carrying critically ill COVID-19 patients seemed to have stopped suddenly. From that point on, the number of ER admissions started to decline precipitously.

First, the wave has crested. At 1 p.m. on April 7, the COVID-19 arrivals slowed down. It was a discrete, noticeable event. Stretchers became available by 5 p.m., and the number of arriving COVID-19 patients dropped below the number discharged, transferred or deceased.

That drop was “striking”, as the doctor explained, because the community he serves is overwhelmingly poor, and sported high rates of infection. The surveillance data released by NY State so far suggests that the area surrounding the hospital may have seen infection rates climb as high as 40%.

The mechanics of this ebb and flow have led Dr. Murphy to suspect that the lockdowns have actually done little to blunt the ‘peak’, a conclusion that’s supported by Sweden’s policies and outcomes.

This was striking, because the community I serve is poor. Some are homeless. Most work in “essential,” low-paying jobs, where distancing isn’t easy. Nevertheless, the wave passed over us, peaked and subsided. The way this transpired tells me the ebb and flow had more to do with the natural course of the outbreak than it did with the lockdown.

Whatever Murphy’s first-hand experience might suggest about the usefulness of lockdowns, what’s wrong with waiting a few more weeks, just in case he’s wrong? Well, Murphy explains, even if we set aside the economic damage and its long-term ramifications for personal health, there’s an even more urgent issue at hand: Because of the lockdowns, too many Americans are delaying critical non-COVID-19 care.

The problem is that in addition to the drop in coronavirus patients, the hospital has also reported a massive drop in patients of all types and categorizations as more people are apparently staying home despite injuries or symptoms that are probably critical for fear of catching the virus. There’s simply no other explanation for such a statistically significant drop.

Without a doubt, many of those who aren’t healthy but have opted to delay care that could prevent lethal strokes, heart attacks or other diseases.

Second, I worry about non-coronavirus care. While the inpatient units remain busy with sick COVID-19 patients, our ER has been quiet for more than a week. We usually average 240 patients a day. For the last week, we averaged fewer than 100. That means our patients in this diverse, low-income community are afraid to come to the ER for non-COVID care.

Gotham-wide, the number of 911 ambulance runs declined to 3,320 on April 18, down from a peak of 6,527 on March 30, according to New York Fire Department data. The current nadir is significantly below the average.

A large share of those staying home surely have emergency medical and surgical conditions not related to the novel coronavirus. The growing numbers ­dying at home during this crisis must include fatal myocardial infarctions, asthma exacerbations, bacterial infections and strokes.

Another huge problem that has been almost completely ignored is that child vaccination rates have plummeted during the pandemic.

Meanwhile, our pediatric volume in the ER has practically disappeared. Visits to primary-care pediatricians are also down, with vaccine schedules falling behind. Everyone seems to be avoiding the health system — an important and unfortunate consequence of the stay-at-home strategy.

Third, inordinate fear misguides the public response. While COVID-19 is serious, fear of it is being over-amplified. The public needs to understand that the vast majority of infected people do quite well.

And finally, as we noted above, Dr. Murphy argued that the virus is already much more pervasive than official data reflect.

Finally, COVID-19 is more prevalent than we think. Many New Yorkers already have the COVID-19 infection, whether they are aware of it or not. As of today, over 43 percent of those tested are positive in The Bronx. We are developing a significant degree of natural herd immunity. Distancing works, but I am skeptical that it is playing as predominant a role as many think.

There’s no question that testing is “important work”, Dr. Murphy added. But there’s no reason it can’t happen “in parallel” to an economic reopening. And even as it stands, scientists continue to find flaws with tests that call their results into question. All of this will likely take months, if not years to sort out. And we simply can’t wait that long without making the ‘cure’ more damaging than the ‘disease’.

More testing will better establish the numbers among those with mild illnesses and no symptoms. My professional ­experience tells me the number of infected people will be high. Testing is important work, but it should happen in parallel to the immediate resuscitation of the economy and getting people back to work.

At present, the testing is ­imperfect. We can’t wait months. We must protect the vulnerable and mitigate without destroying the economy.

So, will Google and YouTube censor Dr. Murphy, too?",FAKE
50,"COVID-19 cases in Maha cross 8,000-mark; death toll now 342","The number of COVID-19 cases in Maharashtra crossed the 8,000-mark on Sunday after 440 more people were found infected, a health official said.
With the new cases, the number of such patients in the state has now reached 8,068, the official said.
With 19 more people succumbing to the infection, the death toll in the state has gone up to 342, he said.
So far, 1,188 patients across the state have been discharged after recovery, the official added.",FAKE
324,STUDY: LOCKDOWN “WILL DESTROY AT LEAST SEVEN TIMES MORE YEARS OF HUMAN LIFE” THAN IT SAVES,"A study has found that the “stay at home” lockdown order in the United States will “destroy at least seven times more years of human life” than it saves and that this number is “likely” to be more than 90 times greater.

As we have repeatedly highlighted, the untold cost of the lockdown in terms of untreated serious illnesses and the impact on mental health will not be fully known for years, but discussion around the issue has been limited in the mainstream media.

Now a new study finds that debilitating stress and anxiety caused by the lockdown, including turmoil caused by huge job losses, could lead to a plethora of negative health problems that will have a far greater overall toll on human life than the number of lives saved by the lockdown.

“Based on a broad array of scientific data, Just Facts has computed that the anxiety created by reactions to Covid-19—such as stay-at-home orders, business shutdowns, media exaggerations, and legitimate concerns about the virus—will destroy at least seven times more years of human life than can possibly be saved by lockdowns to control the spread of the disease. This figure is a bare minimum, and the actual one is likely more than 90 times greater.”

Research shows that at least 16.8% of adults in the United States have suffered “major mental harm from responses to Covid-19.”

Extrapolating these numbers out, the figures show that “anxiety from responses to Covid-19 has impacted 42,873,663 adults and will rob them of an average of 1.3 years of life, thus destroying 55.7 million years of life.”

This contrasts with “a maximum of 616,590 lives (which) might be saved by the current lockdowns, and the disease robs an average of 12 years of life from each of its victims, which means that the current lockdowns can save no more than 7.4 million years of life.”

The seven times figure is a massively conservative estimate which minimizes the impact of the negative consequences of lockdown and maximizes the number of lives affected by lockdown.

“Under the more moderate scenarios…anxiety will destroy more than 90 times the life saved by lockdowns,” states the study.

The study lists a number of reasons why the lockdown has increased anxiety and depression, one of which includes the media’s role in exaggerating the deadliness of COVID-19 and “using false denominators that exaggerate its death rate.”

“This research is engaging and thoroughly answers the question about the cure being worse than the disease,” concluded Joseph P. Damore, Jr., M.D., who reviewed the study.

As we highlighted earlier, psychiatrists wrote 86% more prescriptions for psychotropic drugs, including antidepressants, during the lockdown months of March and April compared to January and February.",FAKE
548,Vietnam's COVID-19 test kit recognized by WHO - Xinhua,"Vietnam's COVID-19 test kit recognized by WHO Source.
 A COVID-19 test kit product manufactured by Vietnam has been recognized by the World Health Organization (WHO) under the Emergency Use List procedure, Vietnam News Agency reported Sunday.
The product, jointly produced by Vietnam Military Medical University and a Vietnamese company, has also been issued a CE marking and a certificate of free sale by Britain, the news agency reported.
Vietnam has confirmed 270 COVID-19 cases as of Sunday evening, according to its Ministry of Health. ",FAKE
221,"SLIPPERY SLOPE TO DESPOTISM: PAVED WITH LOCKDOWNS, RAIDS, AND FORCED VACCINATIONS","“You have no right not to be vaccinated, you have no right not to wear a mask, you have no right to open up your business… And if you refuse to be vaccinated, the state has the power to literally take you to a doctor’s office and plunge a needle into your arm.”—Alan Dershowitz, Harvard law professor

You have no rights.

That’s the lesson the government wants us to learn from this COVID-19 business.

Well, the government is wrong.

For years now, the powers-that-be—those politicians and bureaucrats who think like tyrants and act like petty dictators regardless of what party they belong to—have attempted to brainwash us into believing that we have no right to think for ourselves, make decisions about our health, protect our homes and families and businesses, act in our best interests, demand accountability and transparency from government, or generally operate as if we are in control of our own lives.

We have every right, and you know why? Because we were born free.

As the Declaration of Independence states, we are endowed by our Creator with certain inalienable rights—to life, liberty, property and the pursuit of happiness—that no government can take away from us.

Unfortunately, that hasn’t stopped the government from constantly trying to usurp our freedoms at every turn. Indeed, the nature of government is such that it invariably oversteps its limits, abuses its authority, and flexes its totalitarian muscles.

Take this COVID-19 crisis, for example.

What started out as an apparent effort to prevent a novel coronavirus from sickening the nation (and the world) has become yet another means by which world governments (including our own) can expand their powers, abuse their authority, and further oppress their constituents.

Until now, the police state has been more circumspect in its power grabs, but this latest state of emergency has brought the beast out of the shadows.

We are on a slippery slope to outright despotism.

This road we are traveling is paved with lockdowns, SWAT team raids, mass surveillance and forced vaccinations. It is littered with the debris of our First and Fourth Amendment freedoms.

This is what we have to look forward to in the months and years to come unless we can find some way to regain control over our runaway government.

The government has made no secret of its plans.

Just follow the money trail, and you’ll get a sense of what’s in store: more militarized police, more SWAT team raids, more surveillance, more lockdowns, more strong-armed tactics aimed at suppressing dissent and forcing us to comply with the government’s dictates.

It’s chilling to think about, but it’s not surprising.

We’ve been warned.

Remember that Pentagon training video created by the Army for U.S. Special Operations Command? The one that anticipates the future domestic political and social problems the government is grooming its armed forces to solve through the use of martial law?

The chilling five-minute training video, obtained by The Intercept through a FOIA request and made available online, paints a dystopian picture of the future bedeviled by “criminal networks,” “substandard infrastructure,” “religious and ethnic tensions,” “impoverishment, slums,” “open landfills, over-burdened sewers,” a “growing mass of unemployed,” and an urban landscape in which the prosperous economic elite must be protected from the impoverishment of the have nots.

But here’s the kicker: what they’re really talking about is martial law, packaged as a well-meaning and overriding concern for the nation’s security.

This COVID-19 crisis is pushing us that much closer to that dystopian vision becoming a present-day reality.

For starters, let’s talk about the COVID-19 stormtroopers, SWAT team raids, and ongoing flare-ups of police brutality.

With millions of dollars in stimulus funds being directed towards policing agencies across the country, the federal government plans to fight this COVID-19 virus with riot gear, gas masks, ballistic helmets, drones, and hi-tech surveillance technology.

Indeed, although crime rates have fallen dramatically in the midst of this global COVID-19 lockdown, there’s been no relief from the brutality and violence of the American police state.

While the majority of the country has been social distancing under varying degrees of lockdowns, it’s been business as usual for the nation’s SWAT teams and police trained to shoot first and ask questions later.

In Kentucky, plain-clothed cops in unmarked cars used a battering ram to break down Breonna Taylor’s door and carry out a no-knock raid on her home after midnight. Fearing a home invasion, the 26-year-old emergency medical technician and her boyfriend—who had been in bed at the time of the invasion—called 911 and prepared to defend themselves. Taylor’s boyfriend shot one of the intruders—later identified as police—in the leg. Police fired at least 20 shots into the apartment and a neighboring home, killing Taylor. The drug dealer who was the target of the late-night raid lived 10 miles away and had already been arrested prior to the raid on Taylor’s home.

In Illinois, police opened fire in a subway station, shooting a 33-year-old man who allegedly resisted their attempts to tackle and arrest him for violating a city ordinance by passing between two cars of a moving train. Ariel Roman, a short-order cook, claimed he was suffering from an anxiety attack when he was “harassed, chased, tackled, pepper-sprayed, tasered and shot twice” by police.

In Maryland, police dispatched on a nuisance call to break up a crowd of neighborhood kids( half of them teenagers, and the other half youngsters around 4 and 5 years old) gathered in an apartment complex parking lot opened fire on a 29-year-old man seen exiting his car with a gun. An eyewitness claimed “the officer pointed a flashlight and his gun at the group immediately and began chasing and shooting a minute or two after getting out of the patrol car.” Police reportedly shot the man after he threw down his gun and ran in the opposite direction.

In Virginia, more than 80 local, state, and federal police agents risked spreading COVID-19 to “a highly vulnerable population” when they raided a low income, public housing community in an effort to crackdown on six individuals suspected of selling, on average, $20 to $100 worth of drugs.

In Texas, a SWAT team backed up with a military tank Armored Personnel Carrier raided Big Daddy Zane’s Bar whose owner and patrons were staging a peaceful First and Second Amendment protest of the governor’s shutdown orders.

Police have even been called out to shut down churches, schools and public parks and beaches that have been found “in violation” of various lockdown orders.

Now there’s talk of mobilizing the military to deliver forced vaccinations, mass surveillance in order to carry out contact tracing, and heavy fines and jail time for those who dare to venture out without a mask, congregate in worship without the government’s blessing or re-open their businesses without the government’s say-so.

There are rumblings that the Transportation Security Administration (TSA) will start thermal screenings to monitor passengers’ temperatures in the coming weeks. This is in addition to the virtual strip searches that have become routine aspects of airport security.

Restaurants in parts of the country are being tasked with keeping daily logs of phone numbers, emails, and arrival times for everybody who participates in dine-services, with no mention of how long such records will be kept on file, with whom they will be shared, and under what circumstances.

With the help of Google and Nest cameras, hospitals are morphing into real-time surveillance centers with round-the-clock surveillance cameras monitoring traffic in patients’ rooms. Forget patient privacy, however. Google has a track record of sharing surveillance footage with police.

And then rounding out the power-grabs, the Senate just voted to give police access to web browsing data without a warrant, which would dramatically expand the government’s Patriot Act surveillance powers. The Senate also voted to give Attorney General William Barr the ability to look through the web browsing history of any American — including journalists, politicians, and political rivals — without a warrant, just by saying it is relevant to an investigation. If enacted, privacy experts warn that the new provisions threaten to undermine the free press by potentially preventing the media from exposing abuses of power or acting as a watchdog against political leaders.

If we haven’t already crossed over, we’re skating dangerously close to that line that keeps us on the functioning side of a constitutional republic. It won’t take much to push us over that edge into a full-blown banana republic.

In many ways, this is just more of the same heavy-handed tactics we’ve been seeing in recent years but with one major difference: this COVID-19 state of emergency has invested government officials (and those who view their lives as more valuable than ours) with a sanctimonious, self-righteous, arrogant, Big Brother Knows Best approach to top-down governing, and the fall-out can be seen far and wide.

It’s an ugly, self-serving mindset that views the needs, lives and rights of “we the people” as insignificant when compared to those in power.

That’s how someone who should know better such as Alan Dershowitz, a former Harvard law professor, can suggest that a free people—born in freedom, endowed by their Creator with inalienable rights, and living in a country birthed out of a revolutionary struggle for individual liberty—have no rights to economic freedom, to bodily integrity, or to refuse to comply with a government order with which they disagree.

According to Dershowitz, who has become little more than a legal apologist for the power elite, “You have no right not to be vaccinated, you have no right not to wear a mask, you have no right to open up your business… And if you refuse to be vaccinated, the state has the power to literally take you to a doctor’s office and plunge a needle into your arm.”

Dershowitz is wrong: while the courts may increasingly defer to the government’s brand of Nanny State authoritarianism, we still have rights.

The government may try to abridge those rights, it may refuse to recognize them, it may even attempt to declare martial law and nullify them, but it cannot litigate, legislate or forcefully eradicate them out of existence.

Up to now, we’ve been largely passive participants in this experiment in self-governance. Our inaction and inattention has left us at the mercy of power-hungry politicians, corrupt corporations, and brutal, government-funded militias.

Wake up, America.

As I make clear in my book Battlefield America: The War on the American People, these ongoing violations of our rights—this attitude by the government that we have no rights—this tyrannical movement that is overtaking our constitutional republic and gaining in momentum and power by the minute—this incessant auction block in which government officials appointed to represent our best interests keep selling us out to the highest bidder—all of these betrayals scream for a response.

To quote the great Rod Serling: “If we don’t listen to that scream—and if we don’t respond to it—we may well wind up sitting amidst our own rubble, looking for the truck that hit us—or the bomb that pulverized us. Get the license number of whatever it was that destroyed the dream. And I think we will find that the vehicle was registered in our own name.”

",FAKE
606,OPERATION HAIRCUT: HAIRSTYLISTS TO PROTEST GOV. WHITMER STRIPPING BARBER’S LICENSE FOR REOPENING,"A conservative group is organizing a civil disobedience demonstration in Michigan after Democrat Governor Gretchen Whitmer stripped a barber of his license for trying to reopen his business.

The group, called the Michigan Conservative Coalition, is organizing with dozens of barbers and hairstylists to give haircuts outside the Michigan capitol building on May 20 as an act of defiance against Whitmer’s tyranny.  “To show people we are not unintelligent – the workers and the business owners of Michigan – we all know how to behave in this new world,” said MCC organizer Meshawn Maddock. “There is no reason why barbers and stylists can’t safely cut hair.”

The planned mass demonstration was inspired by 77-year-old barber Karl Manke, who continued to give haircuts despite the shutdown, resulting in Whitmer stripping him of his license earlier this month. “The fact that a 77-year-old barber became a leader in our state (as) the first person brave enough to risk his license, to stand up to our governor,” Maddock said.

“We are proud of him and we were impressed by him. And immediately other hair stylists and barbers reached out to us and said what can I do?”

Manke responded to Whitmer’s action last week, declaring he would not shutter his business because she says so.

“I’m not closing up; I’m not caving in to this,” Manke said, adding: “I’m not a rabble-rouser and I’m not a scofflaw. I’m a small-town barber. I just want to make my living.”",FAKE
895,TUCKER CARLSON: “THE VIRUS ISN’T NEARLY AS DEADLY AS WE THOUGHT IT WAS”,"Fox News host Tucker Carlson appeared to join those demanding a move to re-open society as soon as possible when he said during his show last night “the virus isn’t nearly as deadly as we thought it was.”

Carlson questioned why the San Francisco Bay area was expanding its lockdown for another five weeks until the end of May.

“What is the scientific justification for doing that?” he asked. “They didn’t tell us because there is none. None.” Tucker said that “radical steps” necessary to “flatten the curve” were proposed and that curve has now been flattened, “but it’s likely not because of the lockdowns, the virus just isn’t nearly as deadly as we thought it was.”

“It turned out not to be, hospitals never collapsed, outside of a tiny number of places they never came close to collapsing – at least not from an influx of patients,” he concluded.

Carlson’s view that the lockdowns should now be lifted because the virus wasn’t as deadly as first feared is noteworthy because at the beginning of the crisis, he wasn’t one to take coronavirus lightly.

As we highlighted back in mid-March, Carlson reportedly drove to Mar-a-Lago to warn President Trump that the coronavirus outbreak was a massive threat and urged him to take it more seriously.",FAKE
